Customer ID,Recency,Frequency,Monetary
12784,95,1,1230.33
12785,101,2,788.45
12786,175,1,728.5000000000001
12788,29,4,444.90000000000003
12789,78,2,181.5
12791,166,4,555.11
12792,100,1,426.47
12796,194,1,381.0
12799,95,1,219.35
12800,36,3,584.25
12801,66,1,1071.82
12802,8,6,1988.84
12804,31,2,327.02
12805,47,3,991.35
12806,1,4,2878.96
12808,1,2,293.05
12809,131,2,1266.63
12810,100,2,534.99
12813,67,3,1687.8
12819,24,1,540.52
12820,70,5,1290.63
12821,177,1,128.08
12823,29,10,2829.5
12825,87,2,518.63
12826,42,3,1066.73
12829,116,1,92.3
12831,29,2,236.06
12835,9,40,5809.93
12836,36,9,2799.76
12837,135,1,554.31
12838,8,5,1520.09
12839,35,9,2986.66
12840,3,3,1315.2
12841,2,6,1093.19
12842,303,1,397.20000000000005
12843,31,17,4232.28
12844,8,2,322.64
12846,248,1,15.58
12848,241,1,208.0
12849,157,1,472.29
12850,11,1,330.0
12851,43,1,148.95
12853,66,4,1353.0
12854,127,4,1669.52
12857,2,4,2581.6
12859,24,1,575.1
12860,259,1,55.47
12861,185,1,68.25
12862,61,1,510.68
12863,85,4,1686.95
12864,74,1,152.45
12865,42,1,1043.15
12866,40,2,668.23
12867,12,5,2949.66
12869,247,1,337.66999999999996
12870,43,2,492.0
12871,5,1,363.38
12872,19,8,2217.85
12873,247,1,492.4
12874,120,1,489.26
12875,37,3,1013.7600000000001
12876,156,1,885.5400000000001
12877,40,5,888.33
12880,140,1,337.18
12889,33,2,171.01
12891,24,8,509.5
12894,141,1,157.35
12897,109,1,104.15
12898,29,2,310.96
12905,142,2,1018.42
12907,60,1,328.43
12908,71,2,636.0
12909,130,2,586.61
12910,11,4,2221.3
12911,117,1,1680.47
12913,136,5,1903.74
12915,38,2,611.45
12916,8,3,1647.8700000000001
12917,64,3,3086.2
12918,192,1,10953.5
12920,137,3,323.86
12921,15,27,14879.44
12923,141,1,426.2
12924,18,6,1264.75
12925,158,1,35.28
12926,213,2,612.4
12928,8,6,1503.33
12931,10,29,25943.48
12932,105,8,1698.56
12933,17,3,421.85
12934,302,1,181.65
12935,70,6,1487.33
12937,29,5,1593.34
12939,28,8,7842.12
12941,290,1,377.49
12943,124,2,496.5
12945,222,1,437.16
12946,2,1,324.45
12948,296,2,252.48
12949,29,11,8003.7
12951,1,7,1433.8500000000001
12953,88,1,498.96
12954,204,1,162.45
12956,250,3,413.82
12957,107,5,4689.43
12958,149,1,166.89
12959,50,1,150.95
12960,49,3,1145.8700000000001
12963,1,4,1379.16
12964,3,1,132.24
12969,168,1,122.45
12970,301,1,260.64
12971,1,16,3080.05
12972,148,3,1019.04
12974,131,1,264.15
12975,2,6,2100.09
12976,43,6,2012.12
12977,67,3,478.39
12978,211,4,1946.46
12979,295,1,517.7
12980,22,9,5922.4800000000005
12982,77,5,1776.26
12983,164,1,490.08
12986,25,7,2331.1800000000003
12987,176,2,460.68
12989,18,16,5277.64
12990,16,3,487.5
12992,291,1,93.35
12993,11,4,844.87
12997,39,3,578.48
12998,58,3,920.08
13000,291,1,497.65
13001,8,17,12618.210000000001
13004,18,15,4942.72
13005,23,1,229.73
13007,145,1,175.25
13008,289,1,189.31
13009,238,1,234.0
13010,214,1,177.12
13012,79,2,787.51
13013,4,11,5092.360000000001
13015,4,6,3240.14
13018,4,6,2221.66
13019,131,4,780.85
13020,128,2,618.96
13021,92,4,1230.67
13023,94,1,759.13
13024,36,2,555.87
13025,297,1,323.39
13026,54,4,757.72
13027,38,10,7423.2
13029,89,1,347.7
13031,10,4,3086.72
13032,25,5,751.94
13036,250,1,307.1
13037,28,8,2879.58
13039,150,4,1010.73
13041,16,4,799.13
13042,164,3,1556.54
13044,58,10,4293.43
13045,52,1,325.44
13046,22,1,319.94
13047,36,12,4558.74
13048,2,5,2248.3
13050,2,13,4400.29
13051,144,2,155.8
13052,116,4,2064.83
13053,187,1,127.65
13056,117,1,209.48
13057,96,3,722.09
13059,33,7,1918.3700000000001
13063,46,1,188.4
13064,116,2,561.25
13065,36,2,398.04
13067,12,1,251.39999999999998
13069,22,8,2955.19
13070,25,3,522.9
13071,178,1,129.22
13073,3,1,302.88
13074,77,4,1378.74
13076,23,1,135.4
13077,29,5,1514.55
13078,1,25,11996.44
13080,127,2,160.75
13081,39,11,20661.99
13082,24,10,3287.12
13084,57,1,122.39999999999999
13085,245,6,2017.2
13087,292,1,313.64
13089,1,90,42240.42
13090,37,4,1073.72
13091,295,2,1976.0
13092,24,6,1532.0
13093,14,31,27284.579999999998
13097,8,17,6629.0
13101,64,3,594.21
13102,1,8,2817.75
13103,3,2,465.70000000000005
13104,99,2,278.21999999999997
13105,2,1,72.0
13107,8,4,3487.45
13108,1,1,398.4
13109,117,1,347.49
13110,3,5,1468.8
13111,284,1,321.88000000000005
13112,107,1,20.599999999999998
13113,15,8,4047.2
13114,296,1,234.38
13115,66,4,1788.5
13117,16,8,838.59
13118,5,1,221.37
13119,234,1,134.9
13123,38,2,506.75
13125,89,1,158.57
13126,16,4,1372.49
13128,197,1,263.5
13129,18,2,233.25
13131,120,3,1393.58
13133,25,1,90.65
13135,57,1,275.45
13136,60,4,2283.52
13137,12,3,1408.34
13139,3,1,3138.04
13140,57,1,252.3
13141,7,10,4731.41
13143,150,1,405.1
13145,82,2,204.0
13148,19,10,3824.48
13150,50,3,449.96999999999997
13151,191,2,1322.8700000000001
13152,17,6,1881.5800000000002
13154,73,2,1012.98
13155,57,1,235.70000000000002
13156,234,2,1239.6
13157,40,4,3045.78
13161,66,1,366.13
13162,37,11,7278.02
13163,176,1,17.65
13164,135,2,372.2
13168,108,1,556.12
13169,128,1,127.2
13173,14,9,2119.76
13174,7,7,4715.26
13175,148,2,831.45
13178,8,9,7737.02
13179,184,1,572.3100000000001
13180,173,1,86.10000000000001
13183,10,5,2576.32
13187,190,3,130.99
13190,110,3,570.66
13191,224,1,164.69
13192,101,4,1646.64
13196,9,3,1271.06
13197,175,1,373.01000000000005
13199,17,21,4470.51
13201,68,4,1240.61
13202,15,6,1413.7
13203,33,4,1002.27
13204,297,1,966.6600000000001
13205,9,1,2803.2
13206,35,12,8064.12
13207,17,2,285.6
13208,15,3,764.6
13209,80,5,2617.9
13211,77,5,889.1
13213,71,2,614.95
13214,10,6,3122.56
13217,221,1,132.5
13219,184,1,76.23
13220,141,1,516.8
13222,143,1,88.5
13223,94,3,604.3199999999999
13225,40,7,8199.81
13230,1,12,2233.01
13233,260,1,290.63
13234,238,2,356.95
13238,156,1,117.0
13239,3,4,1265.1299999999999
13240,166,3,269.47
13242,17,4,429.0
13243,15,4,677.97
13246,2,3,805.9
13249,54,5,643.84
13250,26,2,256.04
13252,191,1,346.90000000000003
13253,269,1,974.39
13255,78,1,279.25
13257,2,1,149.75
13259,138,6,827.01
13262,166,1,232.41
13264,8,1,722.5600000000001
13266,72,5,1793.26
13267,4,11,3360.83
13269,5,11,2497.13
13275,198,1,180.16
13276,68,2,619.53
13277,36,2,153.5
13278,45,2,634.61
13280,210,1,478.5
13281,5,1,350.85
13283,133,2,279.7
13285,166,2,655.47
13286,166,1,734.91
13287,169,3,781.59
13288,9,5,927.61
13289,289,1,307.95
13290,4,1,208.63
13291,8,8,2664.98
13292,60,2,344.35
13293,105,4,857.59
13294,212,1,815.79
13295,142,1,306.5
13296,52,4,578.09
13297,108,1,656.57
13299,94,1,351.18
13300,140,1,314.98
13302,92,1,95.45
13304,21,3,917.57
13305,22,3,1270.85
13307,53,2,258.34
13308,162,1,284.86
13312,17,1,124.75
13313,45,7,1890.0
13315,255,1,310.26000000000005
13316,11,3,4586.41
13317,3,10,2775.7
13319,2,25,7678.97
13320,44,1,306.6
13324,17,7,3373.8199999999997
13327,23,10,4337.46
13329,63,3,989.0500000000001
13330,21,3,1665.25
13333,23,2,863.88
13334,102,2,2726.93
13337,112,1,1575.26
13338,107,3,1958.6
13340,64,4,10471.56
13346,28,6,299.4
13357,60,4,3228.41
13360,43,3,1082.31
13361,38,2,1450.5
13371,71,2,2297.66
13373,187,2,2154.85
13374,15,1,299.6
13375,10,1,1013.58
13377,211,1,815.32
13381,7,5,3941.17
13382,184,3,655.65
13383,109,1,305.28000000000003
13384,14,3,1940.79
13386,3,1,313.7
13388,169,1,508.55
13392,243,1,91.14
13393,149,4,1131.45
13394,1,9,3400.58
13397,3,5,1647.74
13398,14,1,213.0
13399,30,3,275.4
13400,148,1,310.83
13402,71,2,605.62
13403,289,1,78.6
13405,47,3,641.36
13406,197,1,140.16
13407,144,3,2244.7
13408,12,36,18440.602
13410,10,3,982.9
13412,186,1,487.35
13413,205,6,429.44
13414,29,3,1103.64
13415,38,4,800.67
13416,302,1,228.3
13417,113,4,1028.66
13418,38,8,3545.64
13421,52,5,1537.58
13424,15,1,572.77
13425,74,2,1779.42
13426,25,8,3425.6800000000003
13427,43,3,423.93
13428,80,2,281.51
13431,11,5,1515.04
13432,137,2,439.1
13433,67,4,658.32
13434,26,2,716.1
13435,66,1,323.85
13438,113,1,46.5
13439,92,1,284.28000000000003
13440,9,2,1270.5
13442,233,3,419.87
13443,14,6,1280.16
13444,72,1,135.29
13445,192,1,241.89999999999998
13446,51,10,3594.21
13448,4,6,4347.96
13450,23,6,1775.78
13451,12,5,3768.36
13452,38,1,139.8
13454,207,1,219.87
13455,19,4,1154.65
13457,254,2,148.22
13459,190,2,1160.41
13461,79,2,2267.4
13462,203,3,526.46
13464,39,3,714.16
13465,12,2,931.12
13466,66,3,528.75
13468,3,27,5619.92
13469,219,1,82.4
13472,29,2,592.24
13473,140,6,2235.12
13474,9,2,434.2
13476,52,2,544.4
13477,21,5,1379.5900000000001
13478,35,5,2215.78
13479,18,2,550.42
13480,245,1,493.94
13481,73,5,1575.33
13482,193,1,151.45
13484,205,1,165.78
13485,84,5,1557.23
13487,71,2,271.47
13488,53,8,3898.85
13490,220,1,154.25
13491,2,15,3036.7400000000002
13495,192,3,1210.51
13497,78,4,818.78
13498,296,1,327.38
13501,52,2,1544.79
13502,114,1,307.90000000000003
13503,45,5,1688.54
13506,26,1,427.32
13508,208,1,176.07999999999998
13509,73,1,135.0
13510,101,5,1781.21
13511,242,1,282.76
13512,46,2,273.96
13513,7,2,619.49
13514,145,2,588.7
13515,15,2,374.7
13519,8,1,220.46
13520,42,4,2518.7
13526,304,2,1182.0
13527,71,4,1844.88
13530,200,1,402.98
13531,64,4,949.27
13534,3,7,1328.37
13537,17,1,415.85
13538,3,3,962.54
13539,101,3,839.62
13540,33,3,632.39
13541,136,1,310.35
13542,12,15,3457.57
13543,200,2,1439.61
13544,122,3,356.94
13545,110,1,124.14
13548,37,1,226.57999999999998
13551,232,1,152.39999999999998
13552,14,8,2747.85
13553,240,1,517.8
13554,3,2,547.68
13555,17,7,3162.09
13556,1,1,107.22
13557,9,9,2008.6000000000001
13559,78,2,990.0
13561,49,7,1173.7
13562,94,4,2277.55
13564,14,30,11787.29
13566,75,2,570.74
13567,38,3,690.99
13571,24,10,1846.43
13573,15,2,138.57
13576,9,9,4043.37
13577,94,5,939.47
13579,21,2,708.25
13582,183,1,77.5
13583,245,1,664.001
13584,64,2,250.05
13585,96,3,684.54
13586,107,1,131.53
13587,15,3,961.1
13589,15,4,741.09
13590,8,6,2195.81
13591,1,4,976.81
13593,18,8,3030.21
13594,51,1,136.35000000000002
13595,82,3,818.22
13598,61,4,609.42
13599,11,8,3885.58
13600,200,1,298.9
13601,112,1,207.58
13602,1,2,458.58000000000004
13604,224,1,717.62
13605,137,1,169.89
13608,106,1,236.2
13609,159,1,167.35
13610,9,6,931.5600000000001
13611,39,5,1482.16
13612,198,1,818.29
13613,18,5,1039.8500000000001
13614,117,1,304.85
13615,72,4,3488.54
13616,134,2,288.1
13617,12,3,359.45
13619,110,2,231.69
13620,94,1,112.34
13622,262,1,658.95
13623,116,3,1434.09
13625,162,1,301.26
13627,54,2,607.43
13628,242,1,310.14
13629,29,6,3795.0
13632,142,2,881.99
13634,19,8,3049.43
13635,8,3,1928.13
13639,2,1,312.93
13640,177,1,405.0
13641,206,5,1016.47
13643,51,4,686.97
13647,60,4,1393.56
13648,36,6,1404.22
13649,42,3,728.51
13650,92,3,1141.06
13652,218,1,393.96000000000004
13653,53,1,152.2
13654,37,3,743.03
13655,155,2,580.58
13656,65,2,699.2
13658,58,3,2705.53
13659,58,9,3027.53
13661,169,1,325.24
13662,4,6,1148.1
13663,212,1,545.45
13665,70,1,632.81
13666,301,1,19.5
13668,44,11,5242.01
13672,296,1,233.53
13676,105,2,243.9
13677,86,1,273.96
13679,59,3,281.26
13680,37,8,7713.25
13683,23,1,258.6
13684,128,2,396.91999999999996
13687,4,1,11880.84
13688,201,1,375.5
13689,10,1,349.5
13693,40,7,1374.17
13694,1,88,117480.31
13695,143,1,266.6
13696,157,2,1386.2
13698,162,2,465.53000000000003
13699,116,1,455.57
13700,234,2,81.55
13701,12,1,161.0
13702,11,1,135.18
13705,8,4,1005.33
13706,192,1,300.38
13707,102,1,720.5
13709,12,5,1263.7
13710,178,1,228.0
13711,144,6,1360.1200000000001
13712,176,1,537.58
13713,37,2,591.11
13714,31,1,161.35
13715,31,10,5571.86
13717,23,2,318.29
13719,44,5,1277.94
13722,15,5,2781.7000000000003
13723,126,2,420.58
13724,203,1,213.01
13727,177,6,746.57
13728,23,8,1507.48
13729,1,3,724.73
13733,301,1,149.1
13734,74,4,6701.640000000001
13735,92,6,3671.93
13736,25,4,1770.69
13739,93,1,75.3
13740,71,3,931.73
13745,112,1,477.32
13748,304,1,173.1
13750,110,3,938.52
13752,93,1,404.45000000000005
13753,164,3,1353.31
13754,3,1,164.45
13756,9,6,1715.21
13757,240,1,195.55
13758,155,5,3682.17
13760,101,2,674.04
13761,68,4,881.52
13762,159,4,2165.76
13763,1,1,3196.48
13764,135,3,1431.5
13765,219,1,352.821
13766,61,1,190.35
13767,5,22,10255.93
13768,292,2,875.97
13769,9,9,2264.91
13770,2,3,607.77
13771,99,5,3094.37
13772,78,3,1096.34
13773,225,1,91.4
13775,156,1,1049.66
13777,5,20,12002.4
13778,57,3,945.79
13779,81,1,161.13
13781,158,2,650.99
13782,19,7,881.72
13783,53,4,1542.09
13784,5,2,399.29
13785,25,2,311.99
13786,155,4,2253.2400000000002
13787,24,4,913.46
13788,71,1,3.75
13793,212,1,96.0
13794,112,1,126.03
13795,72,2,432.34999999999997
13796,65,1,289.7
13797,2,3,1179.45
13798,4,42,29660.44
13799,10,7,2114.71
13800,302,1,478.7
13802,10,14,18052.170000000002
13803,184,1,433.53000000000003
13804,1,2,572.73
13807,140,2,309.6
13809,26,1,127.05
13813,93,4,1398.6100000000001
13814,93,1,678.2
13815,30,3,2553.98
13819,235,3,1502.0
13820,212,2,394.42
13821,259,3,692.2
13823,53,4,1929.92
13824,26,5,1120.02
13825,187,2,255.59
13830,147,1,156.85000000000002
13831,73,11,3388.27
13834,142,2,324.19
13835,85,3,260.7
13838,145,1,240.44
13839,52,1,139.95000000000002
13842,12,8,1384.1200000000001
13847,285,1,310.72
13848,38,4,1440.0
13849,190,1,509.65
13851,7,3,566.0
13852,176,1,187.35000000000002
13854,1,10,2635.62
13855,66,4,1310.3400000000001
13856,29,8,753.53
13857,9,3,640.21
13859,95,1,314.7
13861,96,1,128.43
13863,31,3,933.77
13869,18,5,3909.21
13870,3,5,2142.02
13871,115,3,1164.0
13872,93,3,919.57
13873,140,2,262.7
13874,70,6,1508.7
13875,22,8,2726.28
13877,36,2,332.44
13878,113,3,1191.53
13879,211,1,395.5
13880,17,3,746.61
13881,3,16,23251.22
13883,3,8,3396.9
13884,36,1,254.4
13888,60,4,1042.3700000000001
13889,11,4,1439.3300000000002
13890,147,3,730.2900000000001
13891,148,1,398.4
13892,43,2,634.68
13895,81,2,1415.45
13896,191,1,388.55
13897,4,2,849.5600000000001
13900,70,2,582.92
13901,50,9,2516.28
13902,198,5,34095.26
13905,298,1,312.65
13907,257,1,136.8
13909,87,1,112.46000000000001
13911,42,10,1388.49
13913,72,1,42.22
13916,29,4,1275.81
13919,106,1,617.27
13920,18,3,1453.56
13921,106,2,349.1
13922,3,2,692.95
13927,3,1,359.27
13929,4,8,2446.25
13931,23,5,3073.2200000000003
13935,162,3,6116.92
13939,94,3,451.65
13941,110,7,3703.54
13942,100,1,320.0
13943,143,1,246.54000000000002
13944,219,1,200.43
13945,45,1,515.65
13946,200,2,760.95
13948,214,2,262.31
13952,14,10,8147.74
13953,56,4,2625.0
13957,138,2,258.90000000000003
13958,77,7,3943.51
13959,77,1,43.25
13962,1,1,193.25
13963,3,10,1310.8
13965,42,3,996.61
13966,1,1,390.86
13969,1,13,2608.51
13970,3,1,288.55
13971,43,5,1522.78
13974,148,1,264.13
13975,116,3,1432.9
13976,72,3,834.38
13979,142,4,1302.11
13980,5,4,599.78
13982,65,5,2145.18
13983,25,8,3731.39
13984,59,5,640.93
13985,8,3,1103.53
13988,191,1,310.2
13989,30,3,759.98
13992,29,1,75.89999999999999
13993,5,7,2542.35
13995,33,7,1639.19
13997,85,3,382.31
13998,12,3,566.7
13999,21,14,4653.65
14000,67,3,1188.02
14001,7,4,1271.0700000000002
14003,298,1,209.41
14004,1,2,841.15
14006,94,4,1234.48
14007,78,1,79.48
14009,28,1,404.29999999999995
14010,131,2,445.15
14011,46,2,457.82
14013,189,1,174.2
14014,142,1,276.65999999999997
14016,40,6,6020.22
14017,137,1,229.75
14018,211,1,367.15
14020,42,2,606.21
14021,107,2,479.82
14022,52,1,352.15000000000003
14025,30,8,4057.9
14026,36,2,713.11
14028,116,3,10396.5
14030,4,8,3818.87
14031,7,20,17474.43
14032,31,4,1224.75
14033,121,1,109.44
14035,14,3,750.88
14037,44,4,689.75
14038,239,1,704.55
14039,141,1,115.08000000000001
14040,16,19,6916.8
14042,291,1,431.98
14043,57,2,304.25
14044,52,4,1244.99
14045,31,10,7450.08
14047,45,5,1705.51
14049,2,6,6380.63
14051,47,8,3697.96
14053,52,1,170.8
14055,143,2,795.3199999999999
14057,44,4,1872.28
14058,28,2,469.19
14060,8,7,1949.04
14061,73,3,917.4300000000001
14062,35,7,9634.06
14063,4,9,22710.2
14064,22,8,1743.33
14068,169,3,1262.52
14069,80,2,230.06
14070,250,1,326.55
14072,232,1,390.85
14074,189,1,219.4
14075,36,2,369.39
14078,40,3,507.02
14079,248,1,243.63
14080,194,3,694.65
14081,164,7,3099.43
14083,77,2,79.29
14084,78,1,150.5
14085,36,11,3733.9
14086,28,1,39.95
14087,301,1,236.69
14091,220,2,9530.08
14092,7,9,2698.84
14094,5,1,335.22
14095,288,1,2.95
14097,47,2,422.86
14099,15,6,1982.7
14101,36,5,2747.02
14104,114,2,394.15
14105,5,3,4244.5
14106,303,1,214.8
14107,14,4,2174.07
14108,297,2,447.05
14110,1,21,7304.8
14112,17,6,2919.44
14113,10,8,3187.15
14114,11,3,691.45
14115,67,2,622.67
14119,284,1,66.47999999999999
14122,294,2,131.58999999999997
14123,299,1,436.18
14126,10,1,466.33000000000004
14128,117,1,286.71
14129,21,3,997.02
14130,294,1,358.32
14131,214,1,187.87
14133,299,1,305.5
14134,7,11,8732.2
14135,23,6,3068.46
14136,120,4,1210.97
14137,261,1,332.7
14139,56,3,670.98
14142,212,1,359.53000000000003
14144,52,1,30.6
14145,25,3,3857.85
14146,11,6,3112.9900000000002
14147,3,5,1822.3
14151,239,2,679.45
14152,10,3,1021.09
14153,49,1,233.39999999999998
14154,86,3,2010.86
14156,1,79,167128.67
14157,212,1,152.85
14159,81,7,2410.58
14160,176,7,8421.47
14161,5,4,1925.21
14163,28,1,148.71
14166,71,2,256.85
14167,30,4,721.65
14168,130,1,302.95
14169,10,1,479.23
14171,296,1,135.0
14172,171,3,402.72
14173,207,2,135.16
14175,30,4,2895.32
14177,145,6,728.55
14180,29,4,263.15
14181,128,1,216.1
14182,9,4,678.77
14183,47,1,139.58
14186,87,4,1185.49
14187,39,1,123.5
14190,232,1,79.9
14191,294,1,15.9
14194,26,12,5924.14
14195,5,4,1603.6
14198,43,4,627.73
14199,86,2,322.65
14200,183,1,379.2
14201,136,2,283.95
14202,122,2,333.21000000000004
14204,102,2,722.87
14205,21,5,1339.3999999999999
14207,253,1,157.8
14208,117,1,415.31
14209,18,6,1982.69
14210,2,10,3650.73
14211,63,7,1631.01
14212,11,1,1119.66
14215,36,3,1460.6100000000001
14217,57,2,689.08
14219,59,1,395.64
14220,133,2,882.5999999999999
14221,15,8,3084.69
14224,10,4,793.18
14225,58,3,1627.2
14226,7,1,770.34
14227,10,4,2595.88
14228,3,3,745.5
14229,4,2,719.24
14230,1,3,979.8000000000001
14231,16,1,309.91
14233,31,3,1441.55
14235,64,4,1573.13
14236,36,2,524.6800000000001
14237,156,1,310.14
14238,228,2,287.38
14239,49,9,1462.71
14241,262,1,120.0
14243,3,3,3104.18
14244,226,1,366.41999999999996
14247,12,3,510.29
14248,25,2,730.37
14249,39,11,5099.211
14253,59,2,363.40000000000003
14255,112,1,1000.63
14256,57,3,1504.93
14257,3,3,2466.53
14258,1,14,18163.9
14260,37,3,824.28
14264,19,3,850.54
14265,30,2,843.1700000000001
14268,36,1,354.85
14269,5,1,295.73
14272,128,2,482.85
14274,252,1,256.6
14275,2,4,744.64
14276,50,3,648.24
14277,53,4,12620.23
14279,86,2,191.86
14282,23,6,2624.4
14283,29,4,628.44
14284,219,1,704.4
14285,79,4,1374.41
14286,205,3,2613.02
14290,207,2,1385.1100000000001
14291,11,7,3170.11
14292,5,6,2966.37
14293,253,3,1259.35
14295,4,4,2196.71
14296,140,1,168.25
14298,3,30,31241.9
14299,2,16,8123.27
14301,138,2,928.62
14302,228,2,471.25
14304,136,1,671.97
14306,65,2,453.28000000000003
14307,74,4,1292.2
14308,115,2,1147.02
14309,116,1,664.24
14311,133,1,206.19
14312,70,1,785.33
14315,130,2,716.69
14316,113,4,1064.1
14318,26,1,158.02
14320,112,3,868.96
14321,39,1,377.12
14322,203,2,153.60000000000002
14324,259,1,361.81
14325,135,1,245.48000000000002
14326,29,2,757.13
14327,2,4,1268.32
14328,4,1,445.05
14329,56,6,3228.91
14330,189,1,200.63
14334,37,3,1208.43
14338,102,1,339.88
14341,3,8,1936.1200000000001
14342,38,1,161.28
14343,75,3,868.53
14344,37,7,1312.67
14346,63,1,672.93
14347,302,1,82.60000000000001
14355,15,2,665.65
14361,144,1,214.71
14363,17,1,78.15
14365,247,1,324.5
14366,91,1,136.0
